first_name,last_name,payment_type
Malinda,Rohan,contact-less payment
Esther,Bailey,reward points
Vivienne,Murphy,contact-less payment
Roberto,Hansen,debit card
Maurice,Rath,debit card
Zita,Lind,contact-less payment
Asa,Abernathy,cash
Lillie,Brakus,
Grant,Rice,check
Webster,Goodwin,credit card
Dessie,Kling,contact-less payment
Deshaun,Hilll,check
Lori,Larson,contact-less payment
Ward,Mraz,check
Loma,Waters,check
Stephan,Beatty,check
Sadie,King,debit card
Donnell,Berge,
Evan,Hilll,debit card
Hyman,Von,credit card
Karlee,Kreiger,debit card
Eric,Turner,contact-less payment
Kyleigh,Kerluke,credit card
Dolly,Kozey,contact-less payment
Kim,Lynch,contact-less payment
Randi,Yost,reward points
Dulce,Langworth,reward points
Ila,Auer,contact-less payment
Astrid,O'Connell,debit card
Gordon,Green,
Virginie,Greenholt,debit card
Imani,Davis,check
Uriel,Steuber,
Myles,Batz,check
Marshall,Upton,bitcoin
Austen,Mraz,reward points
Erna,Quitzon,bitcoin
Jeramy,Lemke,credit card
Danial,Hilll,reward points
Rhiannon,Crona,bitcoin
Nayeli,Trantow,reward points
Gillian,Simonis,cash
Marlene,Labadie,bitcoin
Olen,Brekke,reward points
Oral,Leffler,contact-less payment
Alexandro,Senger,credit card
Peggie,Upton,contact-less payment
Bartholome,Davis,bitcoin
Ian,Kovacek,bitcoin
Aaron,Lind,debit card
Abdul,Rau,credit card
Leopold,Mitchell,check
Greg,Emmerich,contact-less payment
Sally,Haley,contact-less payment
Freda,McClure,contact-less payment
Jordon,Dietrich,debit card
Elmo,Kuhn,contact-less payment
Veda,Toy,bitcoin
Theo,Schneider,reward points
Gilbert,Williamson,check
Amira,Graham,credit card
Ophelia,Johns,contact-less payment
Eveline,Morissette,debit card
Joan,McLaughlin,debit card
Kathryn,Eichmann,contact-less payment
Hollis,Brown,contact-less payment
Chyna,Kunze,cash
Gudrun,Johnston,credit card
Taurean,Anderson,contact-less payment
Nettie,Hahn,cash
Barbara,Bins,bitcoin
Gaston,Cummings,contact-less payment
Cale,Considine,debit card
Max,Kulas,check
Deshaun,Krajcik,cash
Maryjane,Monahan,reward points
Abbigail,Spencer,check
Eleazar,Stiedemann,reward points
Cristian,Lindgren,contact-less payment
Ima,Brown,cash
Emilio,Zieme,contact-less payment
Kiarra,Haley,contact-less payment
